,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
qda,Quadratic Discriminant Analysis,0.9875,0.0,0.9875,0.9906,0.9871,0.981,0.983,0.006
lda,Linear Discriminant Analysis,0.9875,0.0,0.9875,0.9906,0.9871,0.981,0.983,0.007
knn,K Neighbors Classifier,0.9528,0.9944,0.9528,0.9646,0.9506,0.9281,0.9354,0.037
nb,Naive Bayes,0.9528,0.9889,0.9528,0.9646,0.9506,0.9281,0.9354,0.007
gbc,Gradient Boosting Classifier,0.9528,0.0,0.9528,0.9646,0.9506,0.9281,0.9354,0.074
lr,Logistic Regression,0.9417,0.0,0.9417,0.9562,0.9392,0.9114,0.9203,0.008
rf,Random Forest Classifier,0.9417,0.9963,0.9417,0.9562,0.9392,0.9114,0.9203,0.089
et,Extra Trees Classifier,0.9417,1.0,0.9417,0.9562,0.9392,0.9114,0.9203,0.074
lightgbm,Light Gradient Boosting Machine,0.9417,0.9926,0.9417,0.9562,0.9392,0.9114,0.9203,0.074
ada,Ada Boost Classifier,0.9319,0.0,0.9319,0.9434,0.9298,0.8972,0.904,0.03
dt,Decision Tree Classifier,0.9306,0.9467,0.9306,0.9424,0.9284,0.8948,0.9021,0.007
svm,SVM - Linear Kernel,0.9069,0.0,0.9069,0.9073,0.8915,0.8621,0.8825,0.023
ridge,Ridge Classifier,0.8597,0.0,0.8597,0.8882,0.8545,0.7898,0.8064,0.007
dummy,Dummy Classifier,0.3208,0.5,0.3208,0.1054,0.158,0.0,0.0,0.007
